Date,IEF,SHY,TLT
2022-01-20,97.5106201171875,74.11412811279297,120.5134506225586
2022-01-21,98.07532501220703,74.17514038085938,121.9482421875
2022-01-24,97.98844146728516,74.21866607666016,120.94639587402344
2022-01-25,97.85810089111328,74.183837890625,120.7510757446289
2022-01-26,97.16307830810547,74.0531234741211,119.2907943725586
2022-01-27,97.57141876220703,73.99215698242188,121.48126220703125
2022-01-28,97.79730987548828,74.01829528808594,121.52374267578125
2022-01-31,97.79730987548828,74.01829528808594,120.89543914794922
2022-02-01,97.66513061523438,74.0121841430664,120.494140625
2022-02-02,97.86510467529297,74.02959442138672,120.9022216796875
2022-02-03,97.44770050048828,73.96862030029297,119.9584732055664
2022-02-04,96.69986724853516,73.82042694091797,118.19002532958984
2022-02-07,96.7259521484375,73.83785247802734,118.26653289794922
2022-02-08,96.41289520263672,73.75945281982422,117.47579956054688
2022-02-09,96.54331970214844,73.7507095336914,117.6968994140625
2022-02-10,95.65634155273438,73.37596130371094,115.82637786865234
2022-02-11,96.6476821899414,73.60257720947266,117.54387664794922
2022-02-14,95.97810363769531,73.44564056396484,116.08148956298828
2022-02-15,95.69112396240234,73.47183227539062,114.76359558105469
2022-02-16,95.89109802246094,73.56765747070312,115.44383239746094
2022-02-17,96.40421295166016,73.61125946044922,116.30252838134766
2022-02-18,96.71724700927734,73.61996459960938,117.52684783935547
2022-02-22,96.70853424072266,73.5502700805664,117.83287811279297
2022-02-23,96.20417022705078,73.50666809082031,116.2090072631836
2022-02-24,96.4302749633789,73.56765747070312,116.28551483154297
2022-02-25,96.40421295166016,73.56765747070312,116.37049865722656
2022-02-28,97.49990844726562,73.69840240478516,118.92123413085938
2022-03-01,98.44949340820312,73.86842346191406,120.29613494873047
2022-03-02,96.96981811523438,73.62432861328125,116.18412017822266
2022-03-03,97.38760375976562,73.62432861328125,117.3675308227539
2022-03-04,98.35374450683594,73.70277404785156,119.39374542236328
2022-03-07,97.93595123291016,73.60686492919922,118.48275756835938
2022-03-08,97.30058288574219,73.5109634399414,117.2908935546875
2022-03-09,96.70001983642578,73.4673843383789,116.14156341552734
2022-03-10,96.25609588623047,73.40632629394531,114.472900390625
2022-03-11,96.2300033569336,73.38018035888672,114.85601043701172
2022-03-14,95.01145935058594,73.18839263916016,112.17423248291016
2022-03-15,94.96792602539062,73.21456909179688,111.97844696044922
2022-03-16,94.83737182617188,73.14482116699219,113.07670593261719
2022-03-17,94.65458679199219,73.11865234375,112.23385620117188
2022-03-18,94.93314361572266,73.10124969482422,113.60456848144531
2022-03-21,93.69718170166016,72.85712432861328,110.97383880615234
2022-03-22,93.18363189697266,72.8048095703125,109.55207824707031
2022-03-23,93.81031036376953,72.8658218383789,111.95289611816406
2022-03-24,93.28809356689453,72.84840393066406,111.07598114013672
2022-03-25,92.33067321777344,72.64788055419922,109.53507995605469
2022-03-28,92.53956604003906,72.57815551757812,110.47154235839844
2022-03-29,93.00088500976562,72.61304473876953,111.30587768554688
2022-03-30,93.36640167236328,72.66531372070312,112.17423248291016
2022-03-31,93.54048156738281,72.66531372070312,112.44666290283203
2022-04-01,92.9313735961914,72.5135726928711,112.8747329711914
2022-04-04,92.87043762207031,72.55716705322266,112.09028625488281
2022-04-05,91.76380920410156,72.42633056640625,109.55790710449219
2022-04-06,91.44139099121094,72.47868347167969,108.67112731933594
2022-04-07,91.21480560302734,72.531005859375,107.85258483886719
2022-04-08,90.75299835205078,72.44376373291016,106.68445587158203
2022-04-11,90.31732177734375,72.46122741699219,104.99618530273438
2022-04-12,90.75299835205078,72.64441680908203,104.85122680664062
2022-04-13,90.95340728759766,72.67925262451172,105.06440734863281
2022-04-14,90.13431549072266,72.54845428466797,102.95832061767578
2022-04-18,89.87290954589844,72.54845428466797,102.44673156738281
2022-04-19,89.28038787841797,72.38272857666016,101.67935180664062
2022-04-20,89.97745513916016,72.42633056640625,103.7257080078125
2022-04-21,89.48079681396484,72.30423736572266,102.95832061767578
2022-04-22,89.52434539794922,72.28677368164062,102.31031036376953
2022-04-25,90.0994644165039,72.40017700195312,103.33349609375
2022-04-26,90.70069885253906,72.531005859375,104.37374877929688
2022-04-27,90.19529724121094,72.49609375,103.03506469726562
2022-04-28,90.06461334228516,72.44376373291016,103.18853759765625
2022-04-29,89.5853500366211,72.30423736572266,101.84986114501953
2022-05-02,88.91796875,72.29899597167969,100.08443450927734
2022-05-03,89.02262115478516,72.26407623291016,100.7591552734375
2022-05-04,89.59846496582031,72.4560775756836,101.31434631347656
2022-05-05,88.69982147216797,72.33390808105469,98.53849029541016
2022-05-06,88.19383239746094,72.32516479492188,97.08650970458984
2022-05-09,88.8481674194336,72.5084228515625,97.94060516357422
2022-05-10,89.14480590820312,72.46480560302734,98.82886505126953
2022-05-11,89.69438934326172,72.4735336303711,100.73355865478516
2022-05-12,89.99103546142578,72.5782470703125,100.5456314086914
2022-05-13,89.51990509033203,72.55205535888672,99.05950164794922
2022-05-16,89.89509582519531,72.595703125,98.95700073242188
2022-05-17,89.2145767211914,72.4386215209961,97.76123046875
2022-05-18,89.8514633178711,72.4735336303711,99.84524536132812
2022-05-19,90.17426300048828,72.5782470703125,100.08443450927734
2022-05-20,90.59300231933594,72.63059997558594,101.22037506103516
2022-05-23,90.04338836669922,72.595703125,99.55490112304688
2022-05-24,90.81982421875,72.76148986816406,101.51933288574219
2022-05-25,91.00306701660156,72.81385040283203,101.92076873779297
2022-05-26,90.95944213867188,72.83131408691406,101.45954895019531
2022-05-27,91.09029388427734,72.8487548828125,101.70724487304688
2022-05-31,90.13935852050781,72.73530578613281,99.55490112304688
2022-06-01,89.6318130493164,72.59994506835938,99.44107055664062
2022-06-02,89.76287078857422,72.61742401123047,99.4924087524414
2022-06-03,89.58814239501953,72.59121704101562,99.27849578857422
2022-06-06,88.91554260253906,72.4951400756836,97.44745635986328
2022-06-07,89.27371215820312,72.50389099121094,98.49988555908203
2022-06-08,88.94174194335938,72.45150756835938,97.62713623046875
2022-06-09,88.8631362915039,72.39911651611328,97.9522933959961
2022-06-10,87.9896469116211,72.09344482421875,97.34479522705078
2022-06-13,86.426025390625,71.72661590576172,94.29016876220703
2022-06-14,85.7359390258789,71.58690643310547,93.10088348388672
2022-06-15,86.93265533447266,71.86637115478516,94.83778381347656
2022-06-16,87.50045776367188,71.96240997314453,95.59076690673828
2022-06-17,87.52662658691406,71.9449691772461,95.89878845214844
2022-06-21,87.07243347167969,71.91874694824219,94.2730712890625
2022-06-22,88.17306518554688,72.12836456298828,96.86564636230469
2022-06-23,88.67095947265625,72.18951416015625,97.6613998413086
2022-06-24,88.35649108886719,72.17204284667969,96.3094711303711
2022-06-27,87.85857391357422,72.09344482421875,95.48807525634766
2022-06-28,87.9721450805664,72.07595825195312,95.9330062866211
2022-06-29,88.67967987060547,72.16326904296875,97.43034362792969
2022-06-30,89.36103057861328,72.30303192138672,98.2859878540039
2022-07-01,90.31900787353516,72.52068328857422,99.29507446289062
2022-07-05,90.65145111083984,72.51195526123047,100.0751953125
2022-07-06,89.88157653808594,72.31089782714844,98.39483642578125
2022-07-07,89.33040618896484,72.25846099853516,97.52896118164062
2022-07-08,88.78804779052734,72.1710205078125,96.44873809814453
2022-07-11,89.4878921508789,72.1972427368164,98.11194610595703
2022-07-12,89.69786071777344,72.23221588134766,98.6949234008789
2022-07-13,90.0827865600586,72.15353393554688,99.82659149169922
2022-07-14,89.58415222167969,72.1273193359375,99.01211547851562
2022-07-15,89.89032745361328,72.17974853515625,99.56940460205078
2022-07-18,89.62786102294922,72.13606262207031,98.53204345703125
2022-07-19,89.21670532226562,72.05736541748047,98.00050354003906
2022-07-20,89.12924194335938,72.04861450195312,98.25767517089844
2022-07-21,90.14402770996094,72.24971008300781,99.9551773071289
2022-07-22,91.1763687133789,72.43324279785156,101.63554382324219
2022-07-25,90.85263061523438,72.37207794189453,100.64103698730469
2022-07-26,90.88764190673828,72.3371353149414,100.71820068359375
2022-07-27,91.07135772705078,72.45073699951172,100.15238952636719
2022-07-28,91.97245025634766,72.60808563232422,100.94966125488281
2022-07-29,92.00745391845703,72.5993881225586,100.67534637451172
2022-08-01,92.5455551147461,72.59761047363281,103.0999526977539
2022-08-02,91.26605224609375,72.34384155273438,100.91838836669922
