Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-07-08,19.22947120666504,,22.553979873657227,15.472861289978027,48.183895111083984,19.862571716308594,42.579444885253906,24.111703872680664,19.144296646118164,62.33220291137695,36.329288482666016
2016-07-11,19.323650360107422,,22.59728240966797,15.560619354248047,48.48698043823242,19.97959327697754,42.58710479736328,24.297903060913086,19.12972068786621,62.16303253173828,36.54108810424805
2016-07-12,19.675823211669922,,23.156885147094727,15.756399154663086,48.933204650878906,20.141626358032227,42.35773849487305,24.34764862060547,18.86737632751465,62.467529296875,36.685279846191406
2016-07-13,19.729047775268555,,22.957029342651367,15.756399154663086,49.05107498168945,20.14612579345703,42.594749450683594,24.461360931396484,19.016767501831055,62.44215393066406,36.50503921508789
2016-07-14,19.905126571655273,,23.0736141204834,15.90491008758545,49.42152786254883,20.276657104492188,42.58710479736328,24.325626373291016,18.89286994934082,62.71282958984375,36.65374755859375
2016-07-15,19.9747371673584,,23.060287475585938,15.877908706665039,49.41311264038086,20.258644104003906,42.58710479736328,24.290088653564453,18.947528839111328,62.662105560302734,36.491519927978516
2016-07-18,20.105770111083984,,23.076946258544922,15.931918144226074,49.371009826660156,20.3936767578125,42.54122543334961,24.297903060913086,19.002197265625,62.687461853027344,36.6312141418457
2016-07-19,19.987024307250977,,22.947036743164062,15.938671112060547,49.396270751953125,20.348665237426758,42.510643005371094,24.367538452148438,18.969396591186523,62.55211639404297,36.56361770629883
2016-07-20,19.995210647583008,,22.913728713989258,15.965665817260742,49.488868713378906,20.614225387573242,42.35773849487305,24.33344268798828,18.86008071899414,63.118858337402344,36.71682357788086
2016-07-21,19.87236785888672,,22.687219619750977,15.884657859802246,48.983726501464844,20.506196975708008,42.23540115356445,24.404499053955078,18.973041534423828,63.30495834350586,36.6176872253418
2016-07-22,19.92559814453125,,22.75716781616211,15.985921859741211,49.07633590698242,20.627727508544922,42.43418884277344,24.58928108215332,19.224458694458008,63.43182373046875,36.770904541015625
2016-07-25,19.89284896850586,,22.304153442382812,15.952170372009277,48.81532287597656,20.600717544555664,42.388309478759766,24.553747177124023,19.191669464111328,63.36416244506836,36.82947540283203
