Date,GLD,SPY,TLT,VEA,VNQ,VWO
2023-02-13,172.47999572753906,394.7413330078125,90.83818054199219,40.99277877807617,78.90176391601562,37.61336135864258
2023-02-14,172.61000061035156,394.55975341796875,90.62905883789062,41.02873611450195,78.27584838867188,37.50444793701172
2023-02-15,170.88999938964844,395.84100341796875,89.78395080566406,40.82197952270508,78.58880615234375,37.322906494140625
2023-02-16,170.75,390.3907775878906,88.51190185546875,40.63319396972656,77.82379150390625,37.25029754638672
2023-02-17,171.25999450683594,389.41546630859375,89.2001953125,40.69612121582031,77.51950073242188,36.95077133178711
2023-02-21,170.6199951171875,381.6034240722656,87.46637725830078,40.1837158203125,75.96337127685547,36.542320251464844
2023-02-22,169.66000366210938,381.07757568359375,88.26798248291016,39.94998550415039,75.2765884399414,36.38801956176758
2023-02-23,169.57000732421875,383.1047058105469,89.1305160522461,40.1837158203125,75.84165954589844,36.51509475708008
2023-02-24,168.35000610351562,379.01220703125,87.97173309326172,39.554443359375,74.51158142089844,35.81618881225586
2023-02-27,169.00999450683594,380.3030090332031,88.21569061279297,39.99493408203125,74.62458038330078,35.99773025512695
2023-02-28,169.77999877929688,378.8974304199219,88.61644744873047,39.70726013183594,74.52027130126953,35.77989196777344
2023-03-01,170.75999450683594,377.44403076171875,87.66442108154297,39.95896911621094,73.58137512207031,36.49694061279297
2023-03-02,170.66000366210938,380.37957763671875,86.88710021972656,40.02190399169922,74.44203186035156,36.66032028198242
2023-03-03,172.49000549316406,386.47998046875,88.99201202392578,40.60622787475586,75.57217407226562,36.9326171875
2023-03-06,171.6199951171875,386.74774169921875,88.30204010009766,40.50734329223633,75.2765884399414,36.8055419921875
2023-03-07,168.6199951171875,380.8193359375,88.8435287475586,39.77018737792969,73.52052307128906,36.260955810546875
2023-03-08,168.5399932861328,381.44091796875,88.93087768554688,39.97695541381836,74.36378479003906,36.45155715942383
2023-03-09,170.1999969482422,374.4033508300781,89.14923095703125,39.5814094543457,72.65987396240234,35.707275390625
2023-03-10,173.8699951171875,369.00091552734375,92.22364044189453,39.19484329223633,70.25178527832031,35.507591247558594
2023-03-13,177.86000061035156,368.4750671386719,92.43328857421875,38.97011184692383,71.17329406738281,35.47129440307617
2023-03-14,176.8300018310547,374.5659484863281,90.9135513305664,39.4285888671875,71.86007690429688,35.489444732666016
2023-03-15,178.2100067138672,372.22332763671875,92.66909790039062,38.250938415527344,71.80789947509766,34.89946746826172
2023-03-16,178.57000732421875,378.75396728515625,91.94413757324219,38.84425735473633,71.65141296386719,35.34421920776367
2023-03-17,183.77000427246094,374.3254089355469,93.32415771484375,38.394775390625,70.0257568359375,35.16268539428711
2023-03-20,183.83999633789062,377.9247131347656,92.50314331054688,38.98130416870117,70.8255615234375,35.22445297241211
2023-03-21,180.3699951171875,382.8870544433594,91.70832824707031,39.486610412597656,70.5125961303711,35.59686279296875
2023-03-22,183.44000244140625,376.3601989746094,92.93113708496094,39.33321762084961,67.87846374511719,35.70585250854492
2023-03-23,185.74000549316406,377.37762451171875,92.93113708496094,39.36028289794922,67.4524917602539,36.141845703125
2023-03-24,183.64999389648438,379.8540344238281,93.32415771484375,39.22493362426758,69.18228149414062,36.069190979003906
2023-03-27,181.9499969482422,380.56427001953125,91.13188934326172,39.56782531738281,69.10324096679688,35.89659881591797
2023-03-28,183.44000244140625,379.7099914550781,91.29783630371094,39.62196350097656,68.9364242553711,36.32351303100586
2023-03-29,182.52999877929688,385.22906494140625,91.11442565917969,40.0731315612793,70.46424865722656,36.4506721496582
2023-03-30,184.17999267578125,387.4847106933594,91.53367614746094,40.56942367553711,71.3862075805664,36.8049201965332
2023-03-31,183.22000122070312,392.9461364746094,92.90491485595703,40.758914947509766,72.91400146484375,36.695926666259766
2023-04-03,184.5399932861328,394.4435119628906,93.34185028076172,41.092796325683594,72.3344955444336,36.8503303527832
2023-04-04,187.97999572753906,392.2550354003906,93.8059310913086,41.08376693725586,72.2379150390625,36.88666915893555
2023-04-05,187.8300018310547,391.2279968261719,94.78662872314453,40.7679443359375,71.85157775878906,36.55966567993164
2023-04-06,186.49000549316406,392.754150390625,95.03180694580078,40.90329360961914,72.34329223632812,36.77766418457031
2023-04-10,185.11000061035156,393.1572265625,93.49947357177734,40.93938064575195,72.67693328857422,36.695926666259766
2023-04-11,186.27999877929688,393.2628173828125,93.6921157836914,41.1198616027832,72.9842758178711,36.968414306640625
2023-04-12,187.19000244140625,391.659912109375,93.59578704833984,41.35447311401367,72.63304138183594,36.68683624267578
2023-04-13,189.72000122070312,396.8622131347656,92.86026763916016,41.959041595458984,72.41352844238281,37.13191604614258
2023-04-14,186.36000061035156,395.892822265625,92.01090240478516,41.75149917602539,71.28960418701172,36.93208694458008
2023-04-17,185.52999877929688,397.3133544921875,90.9163589477539,41.71540069580078,72.77352142333984,37.13191604614258
2023-04-18,186.25,397.5724792480469,91.2403335571289,41.87782287597656,72.60669708251953,37.05924987792969
2023-04-19,185.36000061035156,397.50537109375,91.15278625488281,41.71540069580078,73.03695678710938,36.67774963378906
2023-04-20,186.08999633789062,395.33612060546875,91.9321060180664,41.733455657958984,72.31694030761719,36.6323356628418
2023-04-21,184.25,395.64324951171875,91.41547393798828,41.868812561035156,72.32572174072266,36.287174224853516
2023-04-24,184.80999755859375,396.05596923828125,92.29986572265625,41.950016021728516,72.05352020263672,36.241764068603516
2023-04-25,185.75,389.7690734863281,93.65708923339844,41.29130172729492,71.34227752685547,35.62411117553711
