Date,BTC-USD,QQQ
2018-01-11,13405.7998046875,154.601806640625
2018-01-12,13980.599609375,155.7379913330078
2018-01-13,14360.2001953125,
2018-01-14,13772.0,
2018-01-15,13819.7998046875,
2018-01-16,11490.5,155.2930145263672
2018-01-17,11188.599609375,156.96876525878906
2018-01-18,11474.900390625,156.9971923828125
2018-01-19,11607.400390625,157.48953247070312
2018-01-20,12899.2001953125,
2018-01-21,11600.099609375,
2018-01-22,10931.400390625,159.1748809814453
2018-01-23,10868.400390625,160.49090576171875
2018-01-24,11359.400390625,159.44943237304688
2018-01-25,11259.400390625,159.3926239013672
2018-01-26,11171.400390625,161.83531188964844
2018-01-27,11440.7001953125,
2018-01-28,11786.2998046875,
2018-01-29,11296.400390625,161.04954528808594
2018-01-30,10106.2998046875,159.7239532470703
2018-01-31,10221.099609375,160.38668823242188
2018-02-01,9170.5400390625,159.02337646484375
2018-02-02,8830.75,155.8516082763672
2018-02-03,9174.91015625,
2018-02-04,8277.009765625,
2018-02-05,6955.27001953125,149.7069549560547
2018-02-06,7754.0,153.67398071289062
2018-02-07,7621.2998046875,151.6857452392578
2018-02-08,8265.58984375,145.28546142578125
2018-02-09,8736.98046875,147.7943878173828
2018-02-10,8621.900390625,
2018-02-11,8129.97021484375,
2018-02-12,8926.5703125,150.4170379638672
2018-02-13,8598.3095703125,151.19338989257812
2018-02-14,9494.6298828125,154.0242919921875
2018-02-15,10166.400390625,156.8836212158203
2018-02-16,10233.900390625,156.18299865722656
2018-02-17,11112.7001953125,
2018-02-18,10551.7998046875,
2018-02-19,11225.2998046875,
2018-02-20,11403.7001953125,156.49542236328125
2018-02-21,10690.400390625,156.05043029785156
2018-02-22,10005.0,156.031494140625
2018-02-23,10301.099609375,159.22222900390625
2018-02-24,9813.0703125,
2018-02-25,9664.73046875,
2018-02-26,10366.7001953125,161.33355712890625
2018-02-27,10725.599609375,159.33575439453125
2018-02-28,10397.900390625,158.313232421875
2018-03-01,10951.0,155.728515625
2018-03-02,11086.400390625,157.15821838378906
2018-03-03,11489.7001953125,
2018-03-04,11512.599609375,
2018-03-05,11573.2998046875,158.90028381347656
2018-03-06,10779.900390625,159.57252502441406
2018-03-07,9965.5703125,159.94171142578125
2018-03-08,9395.009765625,160.8223114013672
2018-03-09,9337.5498046875,163.94668579101562
2018-03-10,8866.0,
2018-03-11,9578.6298828125,
2018-03-12,9205.1201171875,164.81771850585938
2018-03-13,9194.849609375,162.5738067626953
2018-03-14,8269.8095703125,162.54547119140625
2018-03-15,8300.8603515625,162.4034423828125
2018-03-16,8338.349609375,161.92056274414062
2018-03-17,7916.8798828125,
2018-03-18,8223.6796875,
2018-03-19,8630.650390625,158.46575927734375
2018-03-20,8913.4697265625,158.9874267578125
2018-03-21,8929.2802734375,158.2950897216797
2018-03-22,8728.4697265625,154.38795471191406
2018-03-23,8879.6201171875,150.31964111328125
2018-03-24,8668.1201171875,
2018-03-25,8495.7802734375,
2018-03-26,8209.400390625,155.90525817871094
2018-03-27,7833.0400390625,150.86019897460938
2018-03-28,7954.47998046875,149.12472534179688
2018-03-29,7165.7001953125,151.85594177246094
2018-03-30,6890.52001953125,
2018-03-31,6973.52978515625,
2018-04-01,6844.22998046875,
2018-04-02,7083.7998046875,147.4746856689453
2018-04-03,7456.10986328125,149.1342315673828
2018-04-04,6853.83984375,151.48611450195312
2018-04-05,6811.47021484375,152.3490447998047
2018-04-06,6636.31982421875,148.53680419921875
2018-04-07,6911.08984375,
2018-04-08,7023.52001953125,
2018-04-09,6770.72998046875,149.57997131347656
2018-04-10,6834.759765625,152.88014221191406
2018-04-11,6968.31982421875,151.99818420410156
2018-04-12,7889.25,153.82846069335938
2018-04-13,7895.9599609375,153.0318145751953
2018-04-14,7986.240234375,
2018-04-15,8329.1103515625,
2018-04-16,8058.669921875,154.1982879638672
2018-04-17,7902.08984375,157.51747131347656
2018-04-18,8163.419921875,157.83990478515625
2018-04-19,8294.3095703125,156.3889617919922
2018-04-20,8845.830078125,153.913818359375
2018-04-21,8895.580078125,
2018-04-22,8802.4599609375,
2018-04-23,8930.8798828125,153.52499389648438
2018-04-24,9697.5,150.27224731445312
2018-04-25,8845.740234375,150.452392578125
2018-04-26,9281.509765625,153.6198272705078
2018-04-27,8987.0498046875,153.7146453857422
2018-04-28,9348.48046875,
2018-04-29,9419.080078125,
2018-04-30,9240.5498046875,152.62408447265625
2018-05-01,9119.009765625,154.3690185546875
2018-05-02,9235.919921875,153.45858764648438
2018-05-03,9743.8603515625,153.43966674804688
2018-05-04,9700.759765625,156.3510284423828
2018-05-05,9858.150390625,
2018-05-06,9654.7998046875,
2018-05-07,9373.009765625,157.65023803710938
2018-05-08,9234.8203125,157.48899841308594
2018-05-09,9325.1796875,159.20547485351562
2018-05-10,9043.9404296875,160.8555908203125
2018-05-11,8441.490234375,160.703857421875
