Date,HYG,VWO
2007-05-15,32.004215240478516,25.20659828186035
2007-05-16,32.089107513427734,25.611446380615234
2007-05-17,32.08002471923828,25.46368408203125
2007-05-18,32.089107513427734,25.643943786621094
2007-05-21,32.119407653808594,25.70009422302246
2007-05-22,32.122467041015625,25.76805877685547
2007-05-23,32.098209381103516,25.599618911743164
2007-05-24,32.1072883605957,25.0440731048584
2007-05-25,32.15274429321289,25.537567138671875
2007-05-29,32.025421142578125,25.457778930664062
2007-05-30,32.098209381103516,25.708953857421875
2007-05-31,32.046630859375,25.80352020263672
2007-06-01,32.042396545410156,26.385663986206055
2007-06-04,32.06981658935547,26.30587387084961
2007-06-05,32.024105072021484,26.161081314086914
2007-06-06,31.984466552734375,25.72964096069336
2007-06-07,31.8350887298584,25.27456283569336
2007-06-08,31.749755859375,25.868518829345703
2007-06-11,31.68267059326172,25.94536018371582
2007-06-12,31.5211238861084,25.522789001464844
2007-06-13,31.57598876953125,26.090158462524414
2007-06-14,31.600357055664062,26.494998931884766
2007-06-15,31.594276428222656,26.950077056884766
2007-06-18,31.612552642822266,27.16579818725586
2007-06-19,31.652202606201172,27.218990325927734
2007-06-20,31.3717041015625,27.02986717224121
2007-06-21,31.42966079711914,27.334230422973633
2007-06-22,31.490625381469727,26.950077056884766
2007-06-25,31.30771827697754,26.725488662719727
2007-06-26,31.39915657043457,26.59546661376953
2007-06-27,31.289417266845703,26.94121551513672
2007-06-28,31.124792098999023,26.944171905517578
2007-06-29,31.036415100097656,26.97667121887207
2007-07-02,31.279573440551758,27.535179138183594
2007-07-03,31.22134017944336,27.833627700805664
2007-07-05,31.107858657836914,28.04936408996582
2007-07-06,31.14156150817871,28.43056297302246
2007-07-09,31.236637115478516,28.649232864379883
2007-07-10,31.153865814208984,28.14687156677246
2007-07-11,30.92079734802246,28.359647750854492
2007-07-12,31.012765884399414,29.10135841369629
2007-07-13,31.14156150817871,29.302297592163086
2007-07-16,31.153865814208984,28.876771926879883
2007-07-17,31.19063949584961,28.944738388061523
2007-07-18,30.95758056640625,28.838342666625977
2007-07-19,30.99134063720703,29.107271194458008
2007-07-20,30.91159439086914,29.030431747436523
2007-07-23,30.844125747680664,29.713062286376953
2007-07-24,30.666250228881836,28.832443237304688
2007-07-25,30.374927520751953,29.184093475341797
