Date,QQQ
2018-07-11,167.66233825683594
2018-07-12,170.55145263671875
2018-07-13,170.69393920898438
2018-07-16,170.28526306152344
2018-07-17,171.3212127685547
2018-07-18,170.99807739257812
2018-07-19,170.14273071289062
2018-07-20,170.10475158691406
2018-07-23,170.6464385986328
2018-07-24,171.3497772216797
2018-07-25,173.74464416503906
2018-07-26,171.11212158203125
2018-07-27,168.80274963378906
2018-07-30,166.41734313964844
2018-07-31,167.69081115722656
2018-08-01,168.32752990722656
2018-08-02,170.61793518066406
2018-08-03,171.14064025878906
2018-08-06,172.14805603027344
2018-08-07,172.7752685546875
2018-08-08,172.98434448242188
2018-08-09,172.87982177734375
2018-08-10,171.55874633789062
2018-08-13,171.3686981201172
2018-08-14,172.442626953125
2018-08-15,170.33279418945312
2018-08-16,170.89353942871094
2018-08-17,170.93161010742188
2018-08-20,170.7794647216797
2018-08-21,171.40673828125
2018-08-22,172.0719757080078
2018-08-23,171.82492065429688
2018-08-24,173.42147827148438
2018-08-27,175.18917846679688
2018-08-28,175.44577026367188
2018-08-29,177.4700164794922
2018-08-30,177.15643310546875
2018-08-31,177.38446044921875
2018-09-04,176.6242218017578
2018-09-05,174.34336853027344
2018-09-06,172.7847137451172
2018-09-07,172.11947631835938
2018-09-10,172.69920349121094
2018-09-11,174.0297393798828
2018-09-12,173.5164794921875
2018-09-13,175.36973571777344
2018-09-14,174.8565216064453
2018-09-17,172.33811950683594
2018-09-18,173.76361083984375
2018-09-19,173.6305694580078
2018-09-20,175.5503387451172
2018-09-21,174.59046936035156
2018-09-24,175.0759735107422
2018-09-25,175.31402587890625
2018-09-26,175.437744140625
2018-09-27,176.9230194091797
2018-09-28,176.88491821289062
2018-10-01,177.24671936035156
2018-10-02,176.84683227539062
2018-10-03,177.03726196289062
2018-10-04,173.6383819580078
2018-10-05,171.5152587890625
2018-10-08,170.46803283691406
2018-10-09,171.02017211914062
2018-10-10,163.4988250732422
2018-10-11,161.470947265625
2018-10-12,165.9646759033203
2018-10-15,163.955810546875
2018-10-16,168.7256622314453
2018-10-17,168.79229736328125
2018-10-18,164.87933349609375
2018-10-19,164.72698974609375
2018-10-22,165.5743865966797
2018-10-23,164.96502685546875
2018-10-24,157.41505432128906
2018-10-25,162.86099243164062
2018-10-26,158.67185974121094
2018-10-29,155.40621948242188
2018-10-30,157.9672393798828
2018-10-31,161.68038940429688
2018-11-01,163.81298828125
2018-11-02,161.26148986816406
2018-11-05,160.86163330078125
2018-11-06,162.0802764892578
2018-11-07,167.16433715820312
2018-11-08,166.09800720214844
2018-11-09,163.29888916015625
2018-11-12,158.35765075683594
2018-11-13,158.49090576171875
2018-11-14,157.2817840576172
2018-11-15,160.03329467773438
2018-11-16,159.47157287597656
2018-11-19,154.2922821044922
2018-11-20,151.5313262939453
2018-11-21,152.68331909179688
2018-11-23,151.5789337158203
2018-11-26,155.08253479003906
2018-11-27,155.60621643066406
2018-11-28,160.61407470703125
2018-11-29,160.0904541015625
2018-11-30,161.25201416015625
2018-12-03,164.070068359375
