Date,EWA,EWC
2010-12-23,12.783793449401855,22.038970947265625
2010-12-27,12.768573760986328,22.01007080078125
2010-12-28,12.804085731506348,22.161813735961914
2010-12-29,12.900470733642578,22.3641414642334
2010-12-30,12.895397186279297,22.349685668945312
2010-12-31,12.905543327331543,22.4002685546875
2011-01-03,12.981635093688965,22.580917358398438
2011-01-04,12.646822929382324,22.34246826171875
2011-01-05,12.560583114624023,22.38581085205078
2011-01-06,12.433760643005371,22.277429580688477
2011-01-07,12.388102531433105,22.291881561279297
2011-01-10,12.403322219848633,22.205169677734375
2011-01-11,12.38303279876709,22.53033447265625
2011-01-12,12.535221099853516,22.718212127685547
2011-01-13,12.621458053588867,22.573686599731445
2011-01-14,12.626530647277832,22.63149642944336
2011-01-18,12.733064651489258,22.754337310791016
2011-01-19,12.722916603088379,22.494199752807617
2011-01-20,12.509851455688477,22.291881561279297
2011-01-21,12.49970817565918,22.34246826171875
2011-01-24,12.697550773620605,22.4002685546875
2011-01-25,12.636679649353027,22.197946548461914
2011-01-26,12.733064651489258,22.573686599731445
2011-01-27,12.697550773620605,22.537561416625977
2011-01-28,12.464194297790527,22.407495498657227
2011-01-31,12.61638355255127,22.609819412231445
2011-02-01,12.870034217834473,23.065052032470703
2011-02-02,12.829448699951172,23.101177215576172
2011-02-03,13.001928329467773,23.274600982666016
2011-02-04,13.118606567382812,23.274600982666016
2011-02-07,13.164260864257812,23.26015281677246
2011-02-08,13.240355491638184,23.289051055908203
2011-02-09,13.174406051635742,23.130083084106445
2011-02-10,13.118606567382812,23.20956802368164
2011-02-11,13.083093643188477,23.281831741333008
2011-02-14,13.204845428466797,23.469701766967773
2011-02-15,13.07295036315918,23.46247673034668
2011-02-16,13.199769020080566,23.809316635131836
2011-02-17,13.34688663482666,23.9249324798584
2011-02-18,13.326594352722168,23.9249324798584
2011-02-22,12.8446683883667,23.55640983581543
2011-02-23,12.895397186279297,23.5925350189209
2011-02-24,12.951199531555176,23.563634872436523
