Date,SPY,^SPX
2019-12-19,291.07550048828125,3205.3701171875
2019-12-20,292.3515625,3221.219970703125
2019-12-23,292.7982482910156,3224.010009765625
2019-12-24,292.8074035644531,3223.3798828125
2019-12-26,294.36614990234375,3239.909912109375
2019-12-27,294.2930908203125,3240.02001953125
2019-12-30,292.67059326171875,3221.2900390625
2019-12-31,293.38165283203125,3230.780029296875
2020-01-02,296.1253662109375,3257.85009765625
2020-01-03,293.88299560546875,3234.85009765625
2020-01-06,295.00408935546875,3246.280029296875
2020-01-07,294.1746826171875,3237.179931640625
2020-01-08,295.742431640625,3253.050048828125
2020-01-09,297.747802734375,3274.699951171875
2020-01-10,296.8909606933594,3265.35009765625
2020-01-13,298.9327087402344,3288.1298828125
2020-01-14,298.4770812988281,3283.14990234375
2020-01-15,299.1515808105469,3289.2900390625
2020-01-16,301.6399841308594,3316.81005859375
2020-01-17,302.5787658691406,3329.6201171875
2020-01-21,301.986328125,3320.7900390625
2020-01-22,302.02288818359375,3321.75
2020-01-23,302.3691711425781,3325.5400390625
2020-01-24,299.6802062988281,3295.469970703125
2020-01-27,294.87652587890625,3243.6298828125
2020-01-28,297.966552734375,3276.239990234375
2020-01-29,297.720458984375,3273.39990234375
2020-01-30,298.68670654296875,3283.659912109375
2020-01-31,293.2630920410156,3225.52001953125
2020-02-03,295.4416809082031,3248.919921875
2020-02-04,299.94451904296875,3297.590087890625
2020-02-05,303.4083251953125,3334.68994140625
2020-02-06,304.4293212890625,3345.780029296875
2020-02-07,302.8067932128906,3327.7099609375
2020-02-10,305.0673522949219,3352.090087890625
2020-02-11,305.5959777832031,3357.75
2020-02-12,307.5649108886719,3379.449951171875
2020-02-13,307.2367248535156,3373.93994140625
2020-02-14,307.7289733886719,3380.159912109375
2020-02-18,306.9359130859375,3370.2900390625
2020-02-19,308.40350341796875,3386.14990234375
2020-02-20,307.1365051269531,3373.22998046875
2020-02-21,303.9734802246094,3337.75
2020-02-24,293.8920593261719,3225.889892578125
2020-02-25,284.98651123046875,3128.2099609375
2020-02-26,283.93829345703125,3116.389892578125
2020-02-27,271.1860656738281,2978.760009765625
2020-02-28,270.0467529296875,2954.219970703125
2020-03-02,281.7415466308594,3090.22998046875
2020-03-03,273.6745910644531,3003.3701171875
2020-03-04,285.1779479980469,3130.1201171875
2020-03-05,275.6982116699219,3023.93994140625
2020-03-06,271.14056396484375,2972.3701171875
2020-03-09,249.9659423828125,2746.56005859375
2020-03-10,262.900390625,2882.22998046875
2020-03-11,250.08444213867188,2741.3798828125
2020-03-12,226.15704345703125,2480.639892578125
2020-03-13,245.49037170410156,2711.02001953125
2020-03-16,218.62789916992188,2386.1298828125
2020-03-17,230.4320831298828,2529.18994140625
2020-03-18,218.76466369628906,2398.10009765625
2020-03-19,219.22955322265625,2409.389892578125
2020-03-20,209.7820281982422,2304.919921875
2020-03-23,204.41824340820312,2237.39990234375
2020-03-24,222.939208984375,2447.330078125
2020-03-25,226.27664184570312,2475.56005859375
2020-03-26,239.48890686035156,2630.070068359375
2020-03-27,232.35557556152344,2541.469970703125
2020-03-30,239.9015350341797,2626.64990234375
2020-03-31,236.32565307617188,2584.590087890625
2020-04-01,225.68978881835938,2470.5
2020-04-02,230.89772033691406,2526.89990234375
2020-04-03,227.56028747558594,2488.64990234375
2020-04-06,242.8446807861328,2663.679931640625
2020-04-07,243.09222412109375,2659.409912109375
2020-04-08,251.25245666503906,2749.97998046875
2020-04-09,255.07577514648438,2789.820068359375
2020-04-13,252.7469482421875,2761.6298828125
2020-04-14,260.2012023925781,2846.06005859375
2020-04-15,254.67234802246094,2783.360107421875
2020-04-16,255.90103149414062,2799.550048828125
2020-04-17,262.8143310546875,2874.56005859375
2020-04-20,258.1840515136719,2823.159912109375
2020-04-21,250.34481811523438,2736.56005859375
2020-04-22,255.90103149414062,2799.31005859375
2020-04-23,255.8826904296875,2797.800048828125
2020-04-24,259.4493408203125,2836.739990234375
2020-04-27,263.190185546875,2878.47998046875
2020-04-28,261.97991943359375,2863.389892578125
2020-04-29,268.83807373046875,2939.510009765625
2020-04-30,266.3351135253906,2912.429931640625
2020-05-01,259.2843322753906,2830.7099609375
2020-05-04,259.9994812011719,2842.739990234375
2020-05-05,262.4017028808594,2868.43994140625
2020-05-06,260.62298583984375,2848.419921875
2020-05-07,263.7678527832031,2881.18994140625
2020-05-08,268.1322021484375,2929.800048828125
2020-05-11,268.1872863769531,2930.18994140625
2020-05-12,262.8418273925781,2870.1201171875
2020-05-13,258.19329833984375,2820.0
